acct	sched_cd	Div_ord	Type_Interest	Interest_Percent
0151873	E	010496	ROYALTY	0.010417
0151874	E	010496	ROYALTY	0.010417
0151875	E	010496	ROYALTY	0.010417
0151883	E	010496	ROYALTY	0.009504
0151886	E	010496	ROYALTY	0.004752
0151888	E	010496	ROYALTY	0.001188
0151889	E	010496	WORKING	0.822584
0151890	E	010496	ROYALTY	0.003422
0151900	E	010496	ROYALTY	0.009504
0151901	E	010496	ROYALTY	0.001188
0151910	E	010496	ROYALTY	0.001188
0151911	E	010496	ROYALTY	0.015840
0151912	E	010496	ROYALTY	0.007920
0151913	E	010496	ROYALTY	0.070313
0151915	E	010496	ROYALTY	0.001953
0151918	E	010496	ROYALTY	0.000824
0151920	E	010496	WORKING	0.854334
0151925	E	010496	ROYALTY	0.000641
0151926	E	010496	ROYALTY	0.000668
0151934	E	010496	ROYALTY	0.002672
0151937	E	010496	ROYALTY	0.000458
0151946	E	010496	ROYALTY	0.000891
0151949	E	010496	ROYALTY	0.001336
0151950	E	010496	ROYALTY	0.001336
0151951	E	010496	ROYALTY	0.015625
0151952	E	010496	OVERRIDE	0.005208
0151953	E	010496	ROYALTY	0.122396
0151954	E	010496	ROYALTY	0.007813
0151955	E	010496	ROYALTY	0.003907
0151956	E	010496	WORKING	0.507406
0151957	E	010496	ROYALTY	0.013770
0151958	E	010496	ROYALTY	0.007813
0151959	E	010496	ROYALTY	0.000639
0151960	E	010496	ROYALTY	0.013769
0151963	E	010496	ROYALTY	0.003267
0151965	E	010496	ROYALTY	0.007812
0151968	E	010496	ROYALTY	0.005208
0151969	E	010496	ROYALTY	0.000434
0151970	E	010496	ROYALTY	0.000434
0151971	E	010496	ROYALTY	0.000434
0151972	E	010496	ROYALTY	0.000434
0151973	E	010496	ROYALTY	0.005208
0151974	E	010496	ROYALTY	0.003472
0151975	E	010496	ROYALTY	0.062500
0151976	E	010496	WORKING	0.854167
0151985	E	010496	ROYALTY	0.007877
0151986	E	010496	ROYALTY	0.007877
0151990	E	010496	WORKING	0.889325
0152009	E	010496	ROYALTY	0.000771
0152011	E	010496	ROYALTY	0.001969
0152012	E	010496	ROYALTY	0.019190
0152017	E	010496	ROYALTY	0.003938
0152025	E	010496	ROYALTY	0.000449
0152029	E	010496	ROYALTY	0.000945
0152037	E	010496	ROYALTY	0.001157
0152050	E	010496	ROYALTY	0.005495
0152052	E	010496	WORKING	0.857311
0152059	E	010496	ROYALTY	0.004121
0152061	E	010496	ROYALTY	0.004121
0152065	E	010496	ROYALTY	0.008242
0152069	E	010496	ROYALTY	0.002819
0152072	E	010496	ROYALTY	0.008243
0152081	E	010496	ROYALTY	0.000940
0152084	E	010496	ROYALTY	0.001409
0152085	E	010496	ROYALTY	0.001409
0152086	E	010496	WORKING	0.915428
0152087	E	010496	ROYALTY	0.016914
0152093	E	010496	WORKING	0.875000
0152094	E	010496	ROYALTY	0.125000
0152096	E	010496	WORKING	0.875000
0152101	E	010496	OVERRIDE	0.003472
0152102	E	010496	WORKING	0.854167
0152105	E	010496	ROYALTY	0.006945
0152106	E	010496	ROYALTY	0.006945
0152107	E	010496	ROYALTY	0.034722
0152112	E	010496	OVERRIDE	0.015625
0152114	E	010496	WORKING	0.875000
0152118	E	010496	ROYALTY	0.014583
